X,Y
0.777189034007337,1.07978876109802
0.807297666093675,1.0284676318914
0.843449290258555,0.97249641141966
0.885661627886371,0.916553545162948
0.929326209231322,0.853824448801655
0.976147016604937,0.804696166864555
1.0334756951213,0.7394672951851
1.08782718105938,0.688259582838611
1.15773804249588,0.744727002073402
1.20345921423382,0.81511634088855
1.25841322724131,0.922975774867533
1.3065780908626,1.02867834231639
1.34707331336724,1.12923851211257
1.38372113629517,1.20426376508533
1.42960180049265,1.31675911322193
1.45710538907299,1.37770649843166
1.49074057665385,1.45739601977707
1.51223661592444,1.53235038721225
1.54273511846745,1.58395505856918
1.58248418366443,1.6777082705701
1.6313243190558,1.77150401389357
1.65877474348296,1.81841606266282
1.6983111520672,1.85602792890181
1.6983111520672,1.85602792890181
1.72258944868773,1.86549823672225
1.74371333888603,1.84220524907406
1.77695865601021,1.81896896985593
1.80105973878679,1.78165482287476
1.83122153502632,1.74436903010863
1.8462138262241,1.70233390632476
1.87635790107923,1.66036966807847
1.89136791366142,1.62301298977476
1.91243863970653,1.58568466568608
1.94552446437116,1.5203423771465
1.97254957557284,1.45497173439189
1.98755958815503,1.41761505608818
2.00863031420015,1.3802867319995
2.0266706835138,1.34294423080331
2.05376668025306,1.29628736996934
2.0747665207606,1.24024526396002
2.09284233284304,1.21225965372415
2.10788778819401,1.18425986638076
2.1319888709706,1.1469457193996
2.15607223236279,1.10495312693828
2.18316822910206,1.05829626610431
2.21628949653547,1.00231086852505
2.24340321465913,0.960332453171242
2.27360045366744,0.932403551365433
2.30376224990696,0.895117758599302
2.3218380619894,0.86713214836343
2.34902266565064,0.843867514930266
2.37317691258041,0.820588704389587
2.39428308139432,0.792617271261231
2.41843732832409,0.769338460720551
2.44259157525386,0.746059650179872
2.46676354356802,0.727459285119354
2.48792287653511,0.71352318843148
2.51517836573393,0.70897233691896
2.53945666235446,0.718442644739407
2.5607932091655,0.751291002853143
2.57296780024456,0.765383047723688
2.59125626893973,0.793538783249747
2.59742331070903,0.821637810345744
