X,Y,Z
7.627926826477051,-3.4404678344726562,4.580107688903809
7.600393295288086,-3.446453332901001,4.578910827636719
7.625532627105713,-3.450044631958008,4.580107688903809
7.637503623962402,-3.4584243297576904,4.574122428894043
7.629123687744141,-3.4548330307006836,4.570530891418457
7.6351094245910645,-3.4524388313293457,4.580107688903809
7.633912086486816,-3.4392707347869873,4.577713489532471
7.6351094245910645,-3.428496837615967,4.594472885131836
7.615955829620361,-3.4320881366729736,4.595670223236084
7.642292022705078,-3.427299737930298,4.594472885131836
7.6530656814575195,-3.4296939373016357,4.581305027008057
7.648277282714844,-3.420117139816284,4.575319290161133
7.644686222076416,-3.422511339187622,4.574122428894043
7.645883083343506,-3.4308910369873047,4.599261283874512
7.633912086486816,-3.426102638244629,4.590881824493408
7.6075758934021,-3.421314239501953,4.598064422607422
7.618350028991699,-3.4332852363586426,4.613626480102539
7.621941089630127,-3.4368765354156494,4.608838081359863
7.602787494659424,-3.4320881366729736,4.596867084503174
7.6111674308776855,-3.4368765354156494,4.599261283874512
7.638700485229492,-3.4093432426452637,4.578910827636719
7.60637903213501,-3.383007049560547,4.586093425750732
7.60637903213501,-3.40216064453125,4.578910827636719
7.681796073913574,-3.4296939373016357,4.581305027008057
7.716512203216553,-3.466804027557373,4.5621514320373535
7.666234016418457,-3.450044631958008,4.574122428894043
7.6315178871154785,-3.3925838470458984,4.572925090789795
7.618350028991699,-3.378218650817871,4.568136692047119
7.624335289001465,-3.3937809467315674,4.570530891418457
7.706935405731201,-3.420117139816284,4.5609540939331055
7.735665798187256,-3.4356794357299805,4.550180435180664
7.708132266998291,-3.47039532661438,4.578910827636719
7.553706169128418,-3.4775779247283936,4.599261283874512
7.544129371643066,-3.426102638244629,4.620809078216553
7.578845500946045,-3.397372245788574,4.626794815063477
7.582436561584473,-3.3722331523895264,4.641160011291504
7.593210697174072,-3.3662476539611816,4.6291890144348145
7.633912086486816,-3.375824451446533,4.610035419464111
7.702147006988525,-3.426102638244629,4.6052470207214355
7.675810813903809,-3.450044631958008,4.593276023864746
7.643488883972168,-3.468001127243042,4.6052470207214355
7.642292022705078,-3.4548330307006836,4.6040496826171875
7.659051418304443,-3.428496837615967,4.598064422607422
7.662642478942871,-3.4081461429595947,4.606443881988525
7.632715225219727,-3.4177229404449463,4.595670223236084
7.624335289001465,-3.4344823360443115,4.58848762512207
7.615955829620361,-3.4524388313293457,4.592078685760498
7.615955829620361,-3.442862033843994,4.577713489532471
7.643488883972168,-3.441664934158325,4.578910827636719
7.636306285858154,-3.4356794357299805,4.568136692047119
7.623138427734375,-3.405751943588257,4.590881824493408
7.600393295288086,-3.3961751461029053,4.5836992263793945
7.602787494659424,-3.3854012489318848,4.575319290161133
7.615955829620361,-3.357867956161499,4.592078685760498
7.650671482086182,-3.3710360527038574,4.581305027008057
7.645883083343506,-3.375824451446533,4.565742492675781
7.594407558441162,-3.4572272300720215,4.552574634552002
7.605181694030762,-3.463212728500366,4.565742492675781
7.6075758934021,-3.4548330307006836,4.575319290161133
7.618350028991699,-3.428496837615967,4.581305027008057
7.605181694030762,-3.4189200401306152,4.574122428894043
7.608773231506348,-3.4141316413879395,4.5836992263793945
7.638700485229492,-3.421314239501953,4.58848762512207
7.6315178871154785,-3.4404678344726562,4.568136692047119
7.624335289001465,-3.441664934158325,4.578910827636719
7.614758491516113,-3.47039532661438,4.5825018882751465
7.6075758934021,-3.464409828186035,4.58848762512207
