@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE class {breathing,non_breathing}

@DATA
0.012927,0.418030,3.285728,0.199641,0.251298,0.434682,0.069814,0.006316,0.102400,0.023245,0.047191,0.052034,0.178602,0.193649,breathing
0.015744,0.024473,3.016215,0.057755,0.111843,0.064854,0.033368,0.010025,0.034976,0.333492,0.030497,0.054428,0.083421,0.112358,non_breathing
0.017638,0.035489,3.090209,0.071947,0.133309,0.091291,0.023730,0.011294,0.022319,0.249166,0.033187,0.055281,0.104032,0.051473,non_breathing
0.017312,0.026824,2.961372,0.069624,0.135504,0.068146,0.024658,0.011481,0.023104,0.393940,0.027753,0.046903,0.091107,0.052852,non_breathing
0.029036,0.017629,2.991401,0.074795,0.126092,0.193008,0.024579,0.020677,0.013810,0.360545,0.030434,0.049286,0.201782,0.045222,non_breathing
0.015597,0.552196,3.312753,0.177257,0.211973,0.480648,0.027016,0.010000,0.174443,0.017842,0.065277,0.067519,0.278296,0.108591,non_breathing
0.004832,0.375221,3.295467,0.127924,0.158889,0.180686,0.051653,0.004485,0.306458,0.084663,0.104542,0.129777,0.166155,0.217612,non_breathing
0.011224,0.659033,3.316522,0.222171,0.269855,0.367476,0.002480,0.009934,0.007675,0.001130,0.018702,0.005621,0.236673,0.002253,non_breathing
0.012083,0.662049,3.315624,0.231967,0.271387,0.403138,0.002994,0.003178,0.014684,0.001082,0.011758,0.004396,0.096057,0.003503,non_breathing
0.008716,0.383380,3.296990,0.149883,0.184941,0.270590,0.090120,0.008820,0.184613,0.020458,0.103411,0.120566,0.312499,0.257150,non_breathing
0.026459,0.652146,3.314989,0.235188,0.268837,0.766416,0.001913,0.013566,0.016332,0.001313,0.015904,0.003277,0.304963,0.001031,non_breathing
0.011701,0.655334,3.311106,0.215406,0.264611,0.394810,0.002850,0.002898,0.022112,0.002671,0.009286,0.002422,0.084849,0.002739,non_breathing
0.015880,0.847601,3.317071,0.217045,0.264549,0.480286,0.002179,0.009177,0.004347,0.000520,0.015178,0.003832,0.223655,0.001713,non_breathing
0.012155,0.784655,3.317364,0.210357,0.263313,0.401879,0.002143,0.002965,0.004432,0.000270,0.005817,0.001761,0.075097,0.001086,non_breathing
0.033337,0.537014,3.306313,0.240617,0.267724,0.801472,0.008096,0.029043,0.092987,0.010331,0.042091,0.008031,0.573944,0.016344,non_breathing
0.030160,0.374201,3.265981,0.222888,0.246753,0.795001,0.076756,0.024213,0.131294,0.077453,0.078720,0.070345,0.488479,0.215418,non_breathing
0.007906,0.507882,3.306199,0.175564,0.214606,0.269660,0.027469,0.007360,0.156429,0.043321,0.061537,0.067903,0.201258,0.110720,non_breathing
0.010370,0.504956,3.307619,0.191614,0.228570,0.330322,0.045642,0.006047,0.087573,0.008941,0.058316,0.062701,0.187870,0.127420,non_breathing
0.018839,0.630173,3.313229,0.225016,0.266584,0.576218,0.002383,0.008159,0.018692,0.001841,0.012244,0.002713,0.194224,0.001799,non_breathing
0.013790,0.798203,3.317561,0.213956,0.264151,0.436301,0.002323,0.006049,0.001522,0.000156,0.009937,0.002634,0.148481,0.001423,non_breathing
0.031544,0.447236,3.291495,0.231666,0.256624,0.793565,0.041133,0.026453,0.111336,0.029451,0.060005,0.040851,0.516682,0.111444,non_breathing
0.019428,0.638723,3.312983,0.207125,0.244863,0.573254,0.012647,0.011555,0.075782,0.017601,0.036673,0.029164,0.294127,0.044648,non_breathing
0.015526,0.526851,3.307412,0.212224,0.257740,0.478505,0.033587,0.011885,0.044093,0.006575,0.037791,0.029971,0.268634,0.094391,non_breathing
0.015597,0.552196,3.312753,0.177257,0.211973,0.480648,0.027016,0.010000,0.174443,0.017842,0.065277,0.067519,0.278296,0.108591,non_breathing
0.014564,0.508016,3.306513,0.179879,0.213222,0.457089,0.026725,0.008564,0.163236,0.041707,0.061467,0.066996,0.249536,0.108257,non_breathing
0.021690,0.759447,3.317544,0.225654,0.266106,0.631011,0.002718,0.013377,0.003300,0.000316,0.020006,0.003887,0.311296,0.001436,non_breathing
0.019819,0.635145,3.313060,0.224319,0.266665,0.594444,0.002937,0.010889,0.020681,0.003843,0.016828,0.003840,0.274337,0.001609,non_breathing
0.017833,0.570077,3.312374,0.220364,0.265286,0.522114,0.002969,0.019008,0.024437,0.002621,0.029285,0.005551,0.391127,0.001525,non_breathing
0.013383,0.511846,3.301638,0.200082,0.247213,0.431629,0.078446,0.006091,0.079195,0.012854,0.057577,0.063275,0.177382,0.230399,non_breathing
0.011819,0.410991,3.298135,0.133543,0.159464,0.370081,0.051705,0.011246,0.338013,0.083657,0.109093,0.130241,0.352268,0.217333,non_breathing
0.017600,0.613749,3.309781,0.228961,0.267702,0.557768,0.002330,0.005817,0.017879,0.005376,0.013773,0.003072,0.148832,0.001379,non_breathing
0.017886,0.864003,3.317203,0.217640,0.264321,0.539293,0.002767,0.012878,0.007126,0.000444,0.020828,0.004178,0.325960,0.001348,non_breathing
0.025432,0.713007,3.316946,0.232674,0.267515,0.718999,0.002514,0.014312,0.010110,0.000890,0.019976,0.003748,0.307181,0.001558,non_breathing
0.023092,0.712824,3.316192,0.227884,0.267201,0.667199,0.003108,0.012148,0.015119,0.001906,0.018169,0.003715,0.292429,0.001519,non_breathing
0.015546,0.583370,3.305749,0.221365,0.266357,0.498654,0.002465,0.009173,0.026296,0.005858,0.014141,0.003462,0.229349,0.000987,non_breathing
0.020919,0.669157,3.315535,0.224448,0.266101,0.560675,0.002905,0.025504,0.023975,0.001480,0.032947,0.004573,0.462399,0.001745,non_breathing
0.015522,0.543736,3.305364,0.218421,0.264906,0.496566,0.002960,0.012663,0.028732,0.008781,0.025655,0.006483,0.319575,0.001552,non_breathing
0.013444,0.560674,3.301299,0.213922,0.264842,0.450172,0.002780,0.004444,0.034022,0.010688,0.013222,0.004236,0.117798,0.001505,non_breathing
0.013970,0.490961,3.301096,0.208496,0.254232,0.431361,0.072881,0.006887,0.100154,0.014717,0.052811,0.061208,0.200899,0.226124,non_breathing
0.014882,0.419242,3.309637,0.141205,0.160811,0.444964,0.050633,0.012906,0.342858,0.034054,0.114797,0.131311,0.376412,0.215563,non_breathing
0.016597,0.696896,3.315236,0.213092,0.263313,0.524650,0.002494,0.006628,0.012178,0.001763,0.015474,0.003735,0.171219,0.001016,non_breathing
