timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Resistance-1
1636466205147,454.5454446934474
1636466205237,448.3733959171901
1636466205327,446.3276673833569
1636466205507,446.3276673833569
1636466205552,448.3733959171901
1636466205642,452.4822852647644
1636466205732,456.61453030681747
1636466205822,462.8571378124004
1636466205958,469.15349211585084
1636466206048,477.6334782907746
1636466206138,486.2118955858545
1636466206231,494.8905137049014
1636466206362,501.4662700500234
1636466206452,510.3245010035411
1636466206543,519.2878422776885
1636466206677,528.3582074510995
1636466206723,535.2323644849425
1636466206857,539.8496381892382
1636466206993,539.8496381892382
1636466207037,537.5375617838239
1636466207172,532.9341233672134
1636466207262,526.0804877418584
1636466207352,517.0370083650623
1636466207488,503.6710442683231
1636466207533,492.711360672877
1636466207623,477.6334782907746
1636466207759,467.0487265548845
1636466207848,454.5454446934474
1636466207983,444.2877203812971
1636466208028,434.1736790364072
1636466208162,426.1838369352267
1636466208252,416.32089920384647
1636466208343,410.46831686327073
1636466208433,406.59339274491816
1636466208523,404.6639299320293
1636466208658,404.6639299320293
1636466208748,406.59339274491816
1636466208838,412.41379785027436
1636466208927,422.2222177481946
1636466209063,432.16781156046505
1636466209153,442.2535116221788
1636466209243,454.5454446934474
1636466209333,467.0487265548845
1636466209424,475.50434498298785
1636466209558,479.7688125747511
1636466209648,479.7688125747511
1636466209738,477.6334782907746
1636466209828,473.3812865196108
1636466209963,467.0487265548845
1636466210054,458.6894462267708
1636466210143,452.4822852647644
1636466210233,442.2535116221788
1636466210323,434.1736790364072
1636466210459,428.172964031484
1636466210548,422.2222177481946
1636466210639,418.28254902895475
1636466210728,412.41379785027436
1636466210863,406.59339274491816
1636466210953,402.7397376024876
1636466211043,400.8208108206512
1636466211132,404.6639299320293
1636466211223,408.52821187382904
1636466211357,416.32089920384647
1636466211448,422.2222177481946
1636466211539,432.16781156046505
1636466211628,442.2535116221788
1636466211763,454.5454446934474
1636466211853,469.15349211585084
1636466211942,477.6334782907746
1636466212033,484.0579442531229
1636466212123,484.0579442531229
1636466212257,486.2118955858545
1636466212348,484.0579442531229
1636466212439,477.6334782907746
1636466212528,471.2643936455603
1636466212619,462.8571378124004
1636466212752,452.4822852647644
1636466212842,446.3276673833569
1636466212933,440.2250463808651
1636466213023,434.1736790364072
1636466213158,430.1675983383237
1636466213248,424.2002776014619
1636466213341,418.28254902895475
1636466213428,414.36462669282946
1636466213518,412.41379785027436
1636466213654,414.36462669282946
1636466213742,416.32089920384647
1636466213832,420.2496346377629
1636466213967,428.172964031484
1636466214057,436.1851437413944
1636466214148,448.3733959171901
1636466214239,460.77034690833864
1636466214328,471.2643936455603
1636466214417,479.7688125747511
1636466214553,486.2118955858545
1636466214643,490.538577934194
1636466214732,490.538577934194
1636466214823,486.2118955858545
1636466214959,481.9102576711703
1636466215048,475.50434498298785
1636466215138,469.15349211585084
1636466215228,460.77034690833864
1636466215317,454.5454446934474
1636466215453,448.3733959171901
1636466215543,442.2535116221788
1636466215633,438.2022389738328
1636466215723,432.16781156046505
1636466215857,426.1838369352267
1636466215947,422.2222177481946
1636466216083,420.2496346377629
1636466216128,420.2496346377629
1636466216263,422.2222177481946
1636466216353,426.1838369352267
1636466216443,432.16781156046505
1636466216579,440.2250463808651
1636466216623,448.3733959171901
1636466216758,458.6894462267708
1636466216893,469.15349211585084
1636466216938,479.7688125747511
1636466217027,488.3720794840724
1636466217119,492.711360672877
1636466217252,492.711360672877
1636466217343,492.711360672877
1636466217433,490.538577934194
1636466217523,486.2118955858545
1636466217658,481.9102576711703
1636466217747,473.3812865196108
1636466217838,467.0487265548845
1636466217928,460.77034690833864
1636466218019,452.4822852647644
1636466218153,448.3733959171901
1636466218243,442.2535116221788
1636466218335,436.1851437413944
1636466218423,430.1675983383237
1636466218558,424.2002776014619
1636466218648,422.2222177481946
1636466218737,422.2222177481946
1636466218873,424.2002776014619
1636466218919,428.172964031484
1636466219052,434.1736790364072
1636466219187,438.2022389738328
1636466219232,448.3733959171901
1636466219323,456.61453030681747
1636466219504,464.9499278348915
1636466219548,477.6334782907746
1636466219638,484.0579442531229
1636466219728,488.3720794840724
1636466219819,490.538577934194
1636466219953,488.3720794840724
1636466220044,481.9102576711703
1636466220133,473.3812865196108
1636466220223,464.9499278348915
1636466220358,454.5454446934474
1636466220449,446.3276673833569
1636466220538,434.1736790364072
1636466220628,424.2002776014619
1636466220718,416.32089920384647
1636466220852,408.52821187382904
1636466220943,402.7397376024876
1636466221033,396.9986277374971
1636466221122,389.4165479267486
1636466221258,385.65628121334447
1636466221349,385.65628121334447
1636466221486,387.5338813482023
1636466221528,391.3043437698163
1636466221618,398.90710798281384
1636466221798,406.59339274491816
1636466221843,416.32089920384647
1636466221933,428.172964031484
1636466222023,440.2250463808651
1636466222158,452.4822852647644
1636466222250,464.9499278348915
1636466222338,475.50434498298785
1636466222427,484.0579442531229
1636466222518,486.2118955858545
1636466222653,488.3720794840724
1636466222743,486.2118955858545
1636466222832,481.9102576711703
1636466222923,475.50434498298785
1636466223059,467.0487265548845
1636466223151,462.8571378124004
1636466223238,456.61453030681747
1636466223328,450.4249516907538
1636466223418,444.2877203812971
1636466223553,440.2250463808651
1636466223643,436.1851437413944
1636466223732,430.1675983383237
1636466223823,426.1838369352267
1636466224004,422.2222177481946
1636466224052,422.2222177481946
1636466224137,422.2222177481946
1636466224228,426.1838369352267
1636466224318,430.1675983383237
1636466224453,438.2022389738328
1636466224543,448.3733959171901
1636466224633,456.61453030681747
1636466224723,467.0487265548845
