36:49.7,440
36:50.7,400
36:51.8,440
36:52.8,440
36:53.8,400
36:54.8,440
36:55.9,440
36:56.9,440
36:57.9,460
36:58.9,420
37:00.0,400
37:01.0,420
37:02.0,400
37:03.0,400
37:04.1,400
37:05.1,660
37:06.1,720
37:07.1,680
37:08.2,780
37:09.2,700
37:10.2,640
37:11.3,840
37:12.3,1200
37:13.3,1100
37:14.3,980
37:15.4,1520
37:16.4,1560
37:17.4,2040
37:18.5,1640
37:19.5,1280
37:20.5,1160
37:21.5,1680
37:22.6,1340
37:23.6,1460
37:24.6,1760
37:25.7,1940
37:26.7,1280
37:27.7,1300
37:28.7,1400
37:29.8,1520
37:30.8,1200
37:31.8,1100
37:32.9,1280
37:33.9,1240
37:34.9,1520
37:35.9,1100
37:37.0,1280
37:38.0,1400
37:39.0,1020
37:40.1,920
37:41.1,1020
37:42.1,1200
37:43.1,1040
37:44.1,920
37:45.2,1240
37:46.2,1540
37:47.2,1460
37:48.3,1100
37:49.3,960
37:50.3,1400
37:51.3,1460
37:52.4,1400
37:53.4,1140
37:54.4,1040
37:55.4,1100
37:56.5,1240
37:57.5,1560
37:58.5,1580
37:59.5,1240
38:00.6,1040
38:01.6,1380
38:02.6,1640
38:03.6,2140
38:04.7,1640
38:05.7,2140
38:06.7,2400
38:07.8,2540
38:08.8,1520
38:09.8,1240
38:10.9,1200
38:11.9,1420
38:12.9,1360
38:13.9,1160
38:15.0,1380
38:16.0,1440
38:17.0,1140
38:18.0,1280
38:19.1,1520
38:20.1,1160
38:21.1,1000
38:22.2,1140
38:23.2,1200
38:24.2,1020
38:25.3,1000
38:26.3,1240
38:27.3,980
38:28.4,920
38:29.4,1160
38:30.4,1060
38:31.5,940
38:32.5,1180
38:33.5,1100
38:34.6,1000
38:35.6,820
38:36.6,1140
38:37.6,1040
38:38.7,880
38:39.7,900
38:40.7,1100
38:41.8,980
38:42.8,820
38:43.8,1020
38:44.8,1100
38:45.9,880
38:46.9,800
38:47.9,960
38:49.0,1040
38:50.0,900
38:51.0,800
38:52.0,1040
38:53.1,840
38:54.1,860
38:55.1,1000
38:56.2,840
38:57.2,760
38:58.2,980
38:59.3,980
39:00.3,860
39:01.3,820
39:02.3,1080
39:03.4,920
39:04.4,840
39:05.4,840
39:06.4,1060
39:07.5,980
39:08.5,880
39:09.5,1000
39:10.6,1140
39:11.6,840
39:12.6,760
39:13.7,940
39:14.7,920
39:15.7,740
39:16.7,920
39:17.8,960
39:18.8,840
39:19.8,640
39:20.8,820
39:21.8,900
39:22.9,800
39:23.9,720
39:24.9,920
39:25.9,1000
39:27.0,800
39:28.0,780
39:29.0,880
39:30.0,760
39:31.0,760
39:32.1,920
39:33.1,920
39:34.1,800
39:35.2,720
39:36.2,900
39:37.2,960
39:38.2,820
39:39.3,800
39:40.3,880
39:41.3,840
39:42.4,760
39:43.4,920
39:44.4,1040
39:45.4,940
39:46.5,740
39:47.5,980
39:48.5,900
39:49.6,780
39:50.6,1080
39:51.6,960
39:52.6,740
39:53.7,860
39:54.7,920
39:55.7,800
39:56.8,980
39:57.8,900
39:58.8,760
39:59.8,880
40:00.9,920
40:01.9,760
40:02.9,660
40:03.9,600
40:05.0,700
40:06.0,820
40:07.0,680
40:08.0,640
40:09.1,780
40:10.1,720
40:11.1,620
40:12.1,780
40:13.2,720
40:14.2,620
40:15.2,820
40:16.3,660
40:17.3,640
40:18.3,700
40:19.3,640
40:20.4,800
40:21.4,740
40:22.4,740
40:23.5,860
40:24.5,760
40:25.5,760
40:26.5,740
40:27.6,700
40:28.6,780
40:29.6,740
40:30.7,860
40:31.7,820
40:32.7,740
40:33.7,920
40:34.8,720
40:35.8,760
40:36.8,860
40:37.8,700
40:38.9,800
40:39.9,880
40:40.9,800
40:41.9,800
40:43.0,900
40:44.0,920
40:45.0,900
40:46.1,1060
40:47.1,880
40:48.1,1040
40:49.2,960
40:50.2,980
40:51.2,800
40:52.2,900
40:53.3,1080
40:54.3,900
40:55.3,940
40:56.3,920
40:57.3,1060
40:58.4,900
40:59.4,840
41:00.4,940
41:01.4,840
41:02.5,960
41:03.5,1040
41:04.5,860
41:05.6,700
41:06.6,940
41:07.6,920
41:08.7,900
41:09.7,940
41:10.7,960
41:11.7,840
41:12.8,1060
41:13.8,960
41:14.8,1000
41:15.8,960
41:16.9,740
41:17.9,1080
41:18.9,960
41:19.9,980
41:21.0,1120
41:22.0,820
41:23.0,900
41:24.1,1000
41:25.1,840
41:26.1,1060
41:27.1,800
41:28.2,980
41:29.2,880
41:30.2,900
41:31.3,820
41:32.3,960
41:33.3,760
41:34.4,940
41:35.4,820
41:36.4,940
41:37.5,780
41:38.5,840
41:39.5,1140
41:40.6,780
41:41.6,980
41:42.6,1100
41:43.7,780
41:44.7,920
41:45.7,920
41:46.8,780
41:47.8,980
41:48.8,860
41:49.8,1020
41:50.9,920
41:51.9,740
41:52.9,940
41:54.0,820
41:55.0,880
41:56.0,860
41:57.0,840
41:58.1,940
41:59.1,740
42:00.1,880
42:01.1,700
42:02.2,920
42:03.2,700
42:04.2,840
42:05.2,760
42:06.3,820
42:07.3,860
42:08.3,860
42:09.4,840
42:10.4,740
42:11.4,900
42:12.5,700
42:13.5,920
42:14.5,780
42:15.5,780
42:16.6,980
42:17.6,740
42:18.7,900
42:19.7,780
42:20.7,840
42:21.7,920
42:22.8,760
42:23.8,840
42:24.8,900
42:25.8,800
42:26.9,920
42:27.9,880
42:28.9,720
42:29.9,760
42:31.0,800
42:32.0,1000
42:33.0,720
42:34.0,720
42:35.1,860
42:36.1,680
42:37.1,720
42:38.2,860
42:39.2,660
42:40.2,840
42:41.2,660
42:42.2,720
42:43.3,800
42:44.3,660
42:45.3,760
42:46.3,740
42:47.4,620
42:48.4,820
42:49.4,700
42:50.4,720
42:51.5,780
42:52.5,760
42:53.5,740
42:54.5,820
42:55.6,640
42:56.6,740
42:57.6,780
42:58.6,620
42:59.7,820
43:00.7,700
43:01.7,660
43:02.7,760
43:03.8,660
43:04.8,840
43:05.8,660
43:06.8,760
43:07.9,840
43:08.9,620
43:09.9,720
43:10.9,820
43:12.0,640
43:13.0,800
43:14.0,800
43:15.0,580
43:16.1,740
43:17.1,720
43:18.1,600
43:19.1,600
43:20.2,800
43:21.2,620
43:22.2,760
43:23.3,840
43:24.3,620
43:25.3,760
43:26.3,820
43:27.3,640
43:28.4,800
43:29.4,780
43:30.4,660
43:31.5,760
43:32.5,760
43:33.5,660
43:34.5,700
43:35.6,680
43:36.6,820
43:37.6,700
43:38.6,660
43:39.7,760
43:40.7,720
