,Volume,Flow
0,2.685531010202521e-12,0.0006662668392489812
1,5.375354348303146e-12,0.0006673317443760585
2,8.06947181581723e-12,0.0006683970964501035
3,1.0767891433391958e-11,0.0006694644384066815
4,1.3470623093823117e-11,0.0006705342347165157
5,1.6177674988729446e-11,0.0006716060633260719
6,1.888905527185615e-11,0.0006726799148391158
7,2.1604768773178945e-11,0.0006737549646450271
8,2.4324814507188326e-11,0.0006748297699509489
9,2.7049191034065745e-11,0.0006759042180450744
10,2.977789818313853e-11,0.000676978623796163
11,3.2510938946919256e-11,0.0006780537719746848
12,3.5248319432836686e-11,0.0006791304353758004
13,3.7990048763388817e-11,0.000680209362023131
14,4.073613586404072e-11,0.0006812905030337994
15,4.348658929032229e-11,0.0006823737666287294
16,4.6241417631494085e-11,0.0006834591611763333
17,4.900063086963031e-11,0.0006845470322267228
18,5.176423891290035e-11,0.0006856373614444824
19,5.453224812790558e-11,0.0006867292701842644
20,5.730466410471209e-11,0.0006878225657915433
21,6.008149374504015e-11,0.0006889175736811697
22,6.286274211985135e-11,0.0006900138396510568
23,6.564840789390986e-11,0.0006911097743555995
24,6.843848319623296e-11,0.0006922037563086153
25,7.12329660133575e-11,0.000693297238731476
26,7.403185817492232e-11,0.000694391175078596
27,7.683516418213925e-11,0.0006954862281539099
28,7.964289333829739e-11,0.0006965835893288056
29,8.245505783504427e-11,0.0006976839751906082
30,8.527166763743089e-11,0.0006987868333318222
31,8.809272721684458e-11,0.0006998908008019126
32,9.091824022971286e-11,0.0007009956754134289
33,9.374821161270564e-11,0.0007021017747880962
34,9.658264647358159e-11,0.0007032091413722068
35,9.942155189985637e-11,0.0007043182663335679
36,1.0226493777723375e-10,0.0007054298438886979
37,1.0511281416169002e-10,0.0007065439162813483
38,1.0796518921170854e-10,0.0007076600127530006
39,1.10822070308547e-10,0.0007087779404778445
40,1.1368346418767737e-10,0.0007098975392396561
41,1.1654937597541586e-10,0.000711018409814946
42,1.194198110797876e-10,0.0007121406220942744
43,1.2229477731330178e-10,0.0007132647726181223
44,1.2517428450760164e-10,0.0007143913623236116
45,1.28058342611574e-10,0.0007155204202982438
46,1.3094695895580778e-10,0.0007166512969553951
47,1.3384014067472428e-10,0.0007177839436268802
48,1.36737893640902e-10,0.0007189180472557601
49,1.396402231079728e-10,0.0007200534542844934
50,1.4254713883251035e-10,0.0007211912818704492
51,1.4545865423653257e-10,0.0007223324393920666
52,1.48374783088443e-10,0.0007234770127858659
53,1.5129553801779137e-10,0.0007246247195079162
54,1.5422093043831966e-10,0.000725775257922387
55,1.571509701366061e-10,0.000726928224338068
56,1.6008566591433098e-10,0.0007280833744067002
57,1.63025025757091e-10,0.0007292405056620151
58,1.6596905624921201e-10,0.0007303992704557005
59,1.689177654039258e-10,0.0007315600232922008
60,1.7187116164325622e-10,0.0007327228655907855
61,1.7482925643043296e-10,0.0007338885518594383
62,1.7779206568805244e-10,0.0007350581884447833
63,1.8075960759260945e-10,0.0007362323345277634
64,1.8373190003739247e-10,0.0007374109198463061
65,1.8670895855076087e-10,0.0007385933576732868
66,1.8969079810265986e-10,0.0007397795094689745
67,1.9267743457969322e-10,0.0007409696026517561
68,1.9566888277657998e-10,0.0007421633663304863
69,1.9866515767951767e-10,0.000743360848010012
70,2.0166627714049792e-10,0.0007445627586795662
71,2.04672261387717e-10,0.000745769687863645
72,2.076831295348434e-10,0.0007469813590534736
73,2.1069889983587854e-10,0.0007481975589699503
74,2.1371959017883908e-10,0.0007494181968140706
75,2.167452161932054e-10,0.0007506427122542595
76,2.1977579339261224e-10,0.0007518710765497952
77,2.228113363681665e-10,0.0007531030608261183
78,2.258518578211678e-10,0.0007543381962314838
79,2.2889736854682386e-10,0.0007555760098740141
80,2.3194787780636647e-10,0.000756816121181907
81,2.350033947379592e-10,0.000758058499622583
82,2.3806393235273284e-10,0.0007593041060598497
83,2.4112950897605567e-10,0.0007605542589295388
84,2.442001437187182e-10,0.0007618091530909474
85,2.4727585311311824e-10,0.0007630681488577564
86,2.5035665428635457e-10,0.0007643313937722514
87,2.5344256433740916e-10,0.000765598880858868
88,2.5653359831096424e-10,0.0007668701004560241
89,2.5962977203660756e-10,0.0007681452472948944
90,2.627311060843376e-10,0.0007694254974477078
91,2.658376234522716e-10,0.0007707114533186408
92,2.689493459526549e-10,0.0007720028206987426
93,2.7206629637011897e-10,0.0007732998408322222
94,2.7518849839932667e-10,0.0007746027394932603
95,2.78315973549859e-10,0.0007759109745739758
96,2.814487419520862e-10,0.0007772242038990931
97,2.8458682272640834e-10,0.0007785421769000289
98,2.877302330685387e-10,0.0007798644160715956
99,2.908789893450765e-10,0.0007811907157147386
100,2.9403310929231397e-10,0.0007825214156434558
101,2.971926127728659e-10,0.0007838570433877504
102,3.003575217559462e-10,0.0007851981215843811
103,3.035278602097082e-10,0.0007865451461602041
104,3.067036536856603e-10,0.0007878985099377256
105,3.0988492725142804e-10,0.0007892580928680281
106,3.1307170240272606e-10,0.000790623008777858
107,3.162639980610846e-10,0.0007919926190248712
108,3.194618353869472e-10,0.0007933674790722929
109,3.22665239465561e-10,0.0007947485626443779
110,3.2587423463189794e-10,0.0007961356836014862
111,3.290888474795965e-10,0.0007975294023075668
112,3.323091052302991e-10,0.0007989298745672821
113,3.355350332700568e-10,0.0008003366449795728
114,3.3876665740088056e-10,0.0008017498167419352
115,3.420040042288222e-10,0.0008031695893330067
116,3.4524710160773417e-10,0.0008045962723258226
117,3.4849597882475406e-10,0.0008060302213112889
118,3.5175066476791805e-10,0.0008074713372743572
