,Volume,time
0,1.1668372212931014e-10,0.0
1,2.331165194767163e-10,6.25e-05
2,3.4929840609082246e-10,0.000125
3,4.652293921866024e-10,0.0001875
4,5.809094976595869e-10,0.00025
5,6.96338751278856e-10,0.0003125
6,8.115171761228799e-10,0.000375
7,9.264447936995335e-10,0.0004375
8,1.041121618362578e-09,0.0005
9,1.1555476674171027e-09,0.0005625
10,1.269722951537961e-09,0.000625
11,1.3836474943314679e-09,0.0006875
12,1.4973213397010418e-09,0.00075
13,1.6107445193725742e-09,0.0008125
14,1.7239170349399915e-09,0.000875
15,1.8368388839868178e-09,0.0009375
16,1.9495100755460962e-09,0.001
17,2.0619306155015896e-09,0.0010625
18,2.1741005263039348e-09,0.001125
19,2.28601983895987e-09,0.0011875
20,2.397688586215399e-09,0.00125
21,2.5091067900519207e-09,0.0013125
22,2.6202744578382124e-09,0.001375
23,2.731191591087516e-09,0.0014375
24,2.841858192718184e-09,0.0015
25,2.952274277228897e-09,0.0015625
26,3.062439866778957e-09,0.001625
27,3.1723549769541613e-09,0.0016875
28,3.2820196188990658e-09,0.00175
29,3.391433793582189e-09,0.0018125
30,3.5005975057865136e-09,0.001875
31,3.6095107716736045e-09,0.0019375
32,3.7181736137089736e-09,0.002
33,3.826586042537202e-09,0.0020625
34,3.934748067175313e-09,0.002125
35,4.042659699821661e-09,0.0021875
36,4.1503209545837946e-09,0.00225
37,4.2577318382939225e-09,0.0023125
38,4.364892374408275e-09,0.002375
39,4.4718025967938085e-09,0.0024375
40,4.578462529148632e-09,0.0025
41,4.684872188234342e-09,0.0025625
42,4.791031585723989e-09,0.002625
43,4.896940741069565e-09,0.0026875
44,5.002599675928644e-09,0.00275
45,5.108008394726765e-09,0.0028125
46,5.213166903632861e-09,0.002875
47,5.318075202911701e-09,0.0029375
48,5.422733299342892e-09,0.003
49,5.527141218433305e-09,0.0030625
50,5.63129900117564e-09,0.003125
51,5.735206688327084e-09,0.0031875
52,5.838864308433755e-09,0.00325
53,5.942271872696658e-09,0.0033125
54,6.045429391105552e-09,0.003375
55,6.148336877677022e-09,0.0034375
56,6.2509943383109626e-09,0.0035
57,6.3534017823544415e-09,0.0035625
58,6.455559241376792e-09,0.003625
59,6.5574667639112194e-09,0.0036875
60,6.659124392900497e-09,0.00375
61,6.760532160662403e-09,0.0038125
62,6.861690087702748e-09,0.003875
63,6.962598196172719e-09,0.0039375
64,7.063256521728505e-09,0.004
65,7.163665099220006e-09,0.0040625
66,7.263823951292915e-09,0.004125
67,7.3637330934125445e-09,0.0041875
68,7.463392541802295e-09,0.00425
69,7.562802302609776e-09,0.0043125
70,7.661962387690398e-09,0.004375
71,7.760872830167034e-09,0.0044375
72,7.859533636610537e-09,0.0045
73,7.957944808921679e-09,0.0045625
74,8.05610634794335e-09,0.004625
75,8.154018254514419e-09,0.0046875
76,8.251680544573776e-09,0.00475
77,8.349093249253994e-09,0.0048125
78,8.446256403381778e-09,0.004875
79,8.543170036339247e-09,0.0049375
80,8.639834167934985e-09,0.005
81,8.736248813998167e-09,0.0050625
82,8.832413992727824e-09,0.005125
83,8.928329721419506e-09,0.0051875
84,9.023996006490189e-09,0.00525
85,9.11941285005703e-09,0.0053125
86,9.214580261918701e-09,0.005375
87,9.309498260856484e-09,0.0054375
88,9.404166866906446e-09,0.0055
89,9.4985861124856e-09,0.0055625
90,9.59275603742886e-09,0.005625
91,9.686676666216464e-09,0.0056875
92,9.780348011516833e-09,0.00575
93,9.873770083831366e-09,0.0058125
94,9.9669428909647e-09,0.005875
95,1.0059866452001413e-08,0.0059375
96,1.0152540783309802e-08,0.006
97,1.0244965907028172e-08,0.0060625
98,1.0337141864186751e-08,0.006125
99,1.0429068699667137e-08,0.0061875
100,1.0520746456791027e-08,0.00625
101,1.0612175183607908e-08,0.0063125
102,1.0703354925556412e-08,0.006375
103,1.0794285715514738e-08,0.0064375
104,1.0884967581443492e-08,0.0065
105,1.0975400553546289e-08,0.0065625
106,1.1065584669342322e-08,0.006625
107,1.1155519979891818e-08,0.0066875
108,1.1245206516010773e-08,0.00675
109,1.1334644295984769e-08,0.0068125
110,1.1423833352601438e-08,0.006875
111,1.1512773744480728e-08,0.0069375
112,1.1601465530864e-08,0.007
113,1.168990875815202e-08,0.0070625
114,1.1778103455389309e-08,0.007125
115,1.1866049637428337e-08,0.0071875
116,1.1953747333389729e-08,0.00725
117,1.204119657525476e-08,0.0073125
118,1.2128397382768214e-08,0.007375
119,1.2215349779024676e-08,0.0074375
120,1.2302053808978538e-08,0.0075
121,1.238850952712002e-08,0.0075625
122,1.2474716985223284e-08,0.007625
123,1.2560676241144023e-08,0.0076875
124,1.2646387352340327e-08,0.00775
125,1.273185036599799e-08,0.0078125
126,1.281706532029434e-08,0.007875
127,1.2902032245886161e-08,0.0079375
128,1.298675116883546e-08,0.008
129,1.3071222120018437e-08,0.0080625
130,1.3155445130190394e-08,0.008125
131,1.3239420230123152e-08,0.0081875
132,1.332314746010979e-08,0.00825
133,1.3406626866295964e-08,0.0083125
134,1.3489858493115253e-08,0.008375
135,1.3572842378416427e-08,0.0084375
136,1.365557855688477e-08,0.0085
137,1.373806706072198e-08,0.0085625
138,1.3820307924281701e-08,0.008625
139,1.3902301198143561e-08,0.0086875
140,1.3984046949741392e-08,0.00875
141,1.4065545244652216e-08,0.0088125
142,1.4146796131728974e-08,0.008875
143,1.4227799658150927e-08,0.0089375
144,1.4308555877285705e-08,0.009
145,1.4389064837262458e-08,0.0090625
146,1.4469326598466497e-08,0.009125
147,1.4549341223474975e-08,0.0091875
148,1.462910874993487e-08,0.00925
149,1.4708629197727352e-08,0.0093125
150,1.4787902597891482e-08,0.009375
151,1.4866928992469823e-08,0.0094375
152,1.494570843060428e-08,0.0095
153,1.5024240963929274e-08,0.0095625
154,1.5102526649100195e-08,0.009625
155,1.518056554103428e-08,0.0096875
156,1.5258357691863693e-08,0.00975
157,1.5335903164828087e-08,0.0098125
158,1.5413202020001593e-08,0.009875
159,1.5490254317300947e-08,0.0099375
160,1.556706011542541e-08,0.01
161,1.5643619469756633e-08,0.0100625
162,1.571993244849235e-08,0.010125
163,1.57959991236633e-08,0.0101875
164,1.587181956940496e-08,0.01025
165,1.5947393862167514e-08,0.0103125
166,1.602272206239553e-08,0.010375
167,1.6097804229362063e-08,0.0104375
168,1.617264042767682e-08,0.0105
169,1.624723071971846e-08,0.0105625
170,1.6321575162066628e-08,0.010625
171,1.6395673808691625e-08,0.0106875
172,1.6469526726300553e-08,0.01075
173,1.6543133989472946e-08,0.0108125
174,1.6616495669272628e-08,0.010875
175,1.668961184042833e-08,0.0109375
176,1.6762482582475934e-08,0.011
177,1.6835107970977097e-08,0.0110625
178,1.6907488081605156e-08,0.011125
179,1.6979623000452742e-08,0.0111875
180,1.705151280726002e-08,0.01125
181,1.7123157580437524e-08,0.0113125
182,1.7194557399771927e-08,0.011375
183,1.7265712340397823e-08,0.0114375
184,1.7336622473120894e-08,0.0115
185,1.7407287871178614e-08,0.0115625
186,1.7477708613497085e-08,0.011625
187,1.754788478255814e-08,0.0116875
188,1.761781645900674e-08,0.01175
189,1.7687503712258008e-08,0.0118125
190,1.7756946593517175e-08,0.011875
191,1.7826145151173987e-08,0.0119375
192,1.7895099436274217e-08,0.012
193,1.796380951554379e-08,0.0120625
194,1.8032275464574007e-08,0.012125
195,1.810049734389015e-08,0.0121875
196,1.816847520664718e-08,0.01225
197,1.823620910193189e-08,0.0123125
198,1.8303699084130012e-08,0.012375
199,1.837094522672133e-08,0.0124375
200,1.8437947587968187e-08,0.0125
201,1.8504706218781018e-08,0.0125625
202,1.8571221180641534e-08,0.012625
203,1.8637492533735863e-08,0.0126875
204,1.8703520332691767e-08,0.01275
205,1.876930463581637e-08,0.0128125
206,1.8834845504574294e-08,0.012875
207,1.890014299537547e-08,0.0129375
208,1.896519715792272e-08,0.013
209,1.9030008047097843e-08,0.0130625
210,1.9094575722253887e-08,0.013125
211,1.9158900238516948e-08,0.0131875
212,1.9222981660637024e-08,0.01325
213,1.9286820053226632e-08,0.0133125
214,1.9350415474322652e-08,0.013375
215,1.9413767988156716e-08,0.0134375
216,1.9476877665875156e-08,0.0135
217,1.9539744585645504e-08,0.0135625
218,1.9602368810608036e-08,0.013625
219,1.9664750392258897e-08,0.0136875
220,1.9726889399135222e-08,0.01375
221,1.9788785906256575e-08,0.0138125
222,1.985043999301383e-08,0.013875
223,1.991185174556627e-08,0.0139375
224,1.9973021244615985e-08,0.014
225,2.0033948561701186e-08,0.0140625
226,2.009463378042832e-08,0.014125
227,2.0155076978569973e-08,0.0141875
228,2.0215278226097785e-08,0.01425
229,2.0275237580983698e-08,0.0143125
230,2.0334955088583568e-08,0.014375
231,2.039443081764548e-08,0.0144375
232,2.045366486585337e-08,0.0145
233,2.0512657328061485e-08,0.0145625
234,2.0571408282748065e-08,0.014625
235,2.0629917811249084e-08,0.0146875
236,2.068818599461295e-08,0.01475
