timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330722579,,,100.05996704101562,,33.80498123168945
1637330722623,,,,0.9866278794498288,
1637330722624,546.8277618699892,,,,
1637330722759,,0.0,,,33.787174224853516
1637330722804,,,100.11627197265625,0.9866662052511257,
1637330722849,563.3587609906766,,,,
1637330722893,,,,,33.80498123168945
1637330722894,,,99.99703979492188,,
1637330722939,,,,0.986672454841514,
1637330722940,560.9755934454873,,,,
1637330723073,,0.0,,,
1637330723074,,,,,33.80498123168945
1637330723118,,,99.88775634765625,,
1637330723119,,,,0.986644218740362,
1637330723164,560.9755934454873,,,,
1637330723208,,,,,33.73374938964844
1637330723209,,,99.8049545288086,,
1637330723254,553.8694763975475,,,0.9863669025789152,
1637330723388,,0.0,,,
1637330723389,,,,,33.80498123168945
1637330723434,,,99.64595794677734,0.9866857069849879,
1637330723523,546.8277618699892,,,,
1637330723524,,,,,33.73374938964844
1637330723568,,,99.65259552001953,,
1637330723569,,,,0.9862910039390189,
1637330723614,528.3582074510995,,,,
1637330723703,,0.0,,,
1637330723704,,,,,33.76936340332031
1637330723748,,,99.6260986328125,,
1637330723749,,,,0.9866469294060727,
1637330723794,492.711360672877,,,,
1637330723838,,,,,33.787174224853516
1637330723839,,,99.54660034179688,,
1637330723883,,,,0.9866363126320395,
1637330723884,446.3276673833569,,,,
1637330724018,,0.0,,,
1637330724019,,,,,33.787174224853516
1637330724063,,,99.5499267578125,,
1637330724064,,,,0.9866158320466707,
1637330724109,412.41379785027436,,,,
1637330724153,,,,,33.751556396484375
1637330724154,,,99.46712493896484,,
1637330724198,,,,0.9866403786306054,
1637330724199,378.19650492048123,,,,
1637330724334,,0.0,,,33.787174224853516
1637330724378,,,99.21871185302734,,
1637330724379,,,,0.9866329242999012,
1637330724423,354.4973656770844,,,,
1637330724468,,,,,33.787174224853516
1637330724469,,,99.25514221191406,,
1637330724514,322.99739572383675,,,0.9866273523759407,
1637330724648,,0.0,,,
1637330724649,,,,,33.76936340332031
1637330724693,,,99.08622741699219,,
1637330724694,,,,0.9864126827109163,
1637330724739,292.9292943401977,,,,
1637330724783,,,,,33.73374938964844
1637330724784,,,98.99681091308594,,
1637330724828,,,,0.9866242652288814,
1637330724829,262.63871284548355,,,,
1637330724964,,0.0,,,33.76936340332031
1637330725010,,,98.8775634765625,0.9864363257396142,
1637330725055,236.71498184357242,,,,
1637330725099,,,98.79808044433594,,33.787174224853516
1637330725145,,,,0.9866343549290263,
1637330725146,217.59810478213183,,,,
1637330725279,,0.0,,,33.7159423828125
1637330725323,,,98.78814697265625,,
1637330725324,,,,0.9866481341463884,
1637330725370,201.87793517617746,,,,
1637330725414,,,98.72852325439453,,33.80498123168945
1637330725459,,,,0.9866348820029145,
1637330725460,197.6608156268344,,,,
1637330725594,,0.0,,,33.787174224853516
1637330725639,,,98.70535278320312,0.986703552200916,
1637330725684,192.0838256441257,,,,
1637330725729,,,98.76827239990234,,33.787174224853516
1637330725774,,,,0.9864363257396142,
1637330725775,187.93503313940778,,,,
1637330725909,,0.0,,,33.787174224853516
1637330725954,,,98.74839782714844,0.9866859328737971,
1637330725999,190.69768287737128,,,,
1637330726044,,,98.89082336425781,,33.787174224853516
1637330726089,,,,0.9864120050444887,
1637330726090,199.0632271818838,,,,
1637330726224,,0.0,,,33.858402252197266
1637330726269,,,99.1061019897461,0.9866854810961787,
1637330726315,210.4018886439673,,,,
1637330726359,,,99.102783203125,,33.82278823852539
1637330726404,238.21040507600145,,,0.9866391738902895,
1637330726539,,0.0,,,33.80498123168945
1637330726583,,,99.20215606689453,,
1637330726584,,,,0.9866820927640405,
1637330726629,257.98524559288694,,,,
1637330726675,,,,,33.82278823852539
1637330726676,,,99.39756774902344,,
1637330726718,,,,0.9866526519225728,
1637330726719,292.9292943401977,,,,
1637330726853,,0.0,,,
1637330726854,,,,,33.82278823852539
1637330726898,,,99.47373962402344,,
1637330726899,,,,0.9866601815495466,
1637330726944,326.4248454653038,,,,
1637330727034,,,99.51017761230469,,33.82278823852539
1637330727079,354.4973656770844,,,0.9866604074383558,
1637330727168,,0.0,,,
1637330727169,,,,,33.76936340332031
1637330727213,,,99.51679229736328,,
1637330727214,,,,0.9864196852640019,
1637330727259,400.8208108206512,,,,
1637330727303,,,,,33.787174224853516
1637330727304,,,99.59297180175781,,
1637330727348,,,,0.98667072302731,
1637330727350,438.2022389738328,,,,
1637330727483,,0.0,,,
1637330727484,,,,,33.76936340332031
1637330727528,,,99.65921020507812,,
1637330727529,,,,0.9864100473414754,
1637330727574,473.3812865196108,,,,
1637330727618,,,,,33.82278823852539
1637330727619,,,99.5797348022461,,
1637330727664,,,,0.9866522001449544,
1637330727665,499.26793627545976,,,,
1637330727798,,0.0,,,
1637330727799,,,,,33.787174224853516
1637330727843,,,99.64927673339844,,
1637330727844,,,,0.9866779514692049,
1637330727888,523.8095000217301,,,,
1637330727933,,,,,33.80498123168945
1637330727934,,,99.74201202392578,,
1637330727978,,,,0.9867001638687777,
1637330727979,532.9341233672134,,,,
1637330728113,,0.0,,,
1637330728114,,,,,33.82278823852539
1637330728158,,,99.7585678100586,,
1637330728159,,,,0.9866729066191324,
1637330728203,544.4947444617188,,,,
1637330728249,,,99.88113403320312,,33.76936340332031
1637330728293,,,,0.9864471684024565,
1637330728294,560.9755934454873,,,,
1637330728429,,0.0,,,33.84059524536133
1637330728474,,,99.8215103149414,0.9866411315933028,
1637330728519,568.1470334891222,,,,
1637330728563,,,,,33.787174224853516
1637330728564,,,99.81156921386719,,
1637330728609,,,,0.9864526650301474,
1637330728610,563.3587609906766,,,,
1637330728701,,0.0,,,
1637330728702,,,,,33.82278823852539
1637330728744,,,99.88442993164062,0.986648811812816,
1637330728789,565.749214024384,,,,
1637330728834,,,99.71221923828125,,33.80498123168945
1637330728879,,,,0.9866283312274472,
1637330728880,560.9755934454873,,,,
1637330728969,,0.0,,,33.787174224853516
1637330729014,,,99.54660034179688,0.9866177144534141,
1637330729060,568.1470334891222,,,,
1637330729104,,,99.3280029296875,,33.787174224853516
1637330729148,,,,0.9866755419885732,
1637330729149,551.5151299983681,,,,
1637330729239,,0.0,,,33.76936340332031
1637330729283,,,99.21539306640625,,
1637330729284,,,,0.9863423559949805,
1637330729329,523.8095000217301,,,,
1637330729374,,,99.00674438476562,,33.751556396484375
1637330729419,,,,0.9866803609498365,
1637330729420,514.7929023132826,,,,
1637330729509,,0.0,,,33.73374938964844
1637330729554,,,98.75503540039062,0.9866664311399349,
1637330729599,503.6710442683231,,,,
1637330729644,,,98.55960845947266,,33.73374938964844
1637330729689,,,,0.9862857332001372,
1637330729690,490.538577934194,,,,
1637330729779,,0.0,,,33.73374938964844
1637330729823,,,98.4701919555664,,
1637330729824,,,,0.9866558143659018,
1637330729869,473.3812865196108,,,,
1637330729914,,,,,33.73374938964844
1637330729959,,,98.32115173339844,0.9866389480014803,
1637330730004,456.61453030681747,,,,
1637330730049,,0.0,,,33.73374938964844
1637330730094,,,98.18534851074219,0.9866589768092308,
1637330730139,428.172964031484,,,,
1637330730184,,,98.08599853515625,,33.69813537597656
1637330730274,,,,0.9866758431736522,
