timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer X-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Y-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Z-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637760577069,,0.22705078125,1.2451171875,9.87060546875,,26.00518798828125
1637760577113,54.58290336470751,,,,83.01620483398438,
1637760577157,,0.21240234375,1.229248046875,,,
1637760577158,,,,9.7900390625,,26.00518798828125
1637760577202,,,,,83.02944946289062,
1637760577204,55.670102654918374,,,,,
1637760577293,,0.208740234375,1.30859375,9.862060546875,,
1637760577294,,,,,82.98638916015625,26.022994995117188
1637760577295,54.58290336470751,,,,,
1637760577384,,0.18798828125,1.265869140625,9.77294921875,,
1637760577385,54.58290336470751,,,,83.04932403564453,26.040803909301758
1637760577518,,0.2001953125,1.220703125,9.78515625,,
1637760577519,,,,,,26.022994995117188
1637760577520,,,,,82.97314453125,
1637760577521,54.58290336470751,,,,,
1637760577609,,0.216064453125,,,,
1637760577610,,,1.25244140625,9.83154296875,,26.00518798828125
1637760577613,,,,,83.01289367675781,
1637760577614,54.58290336470751,,,,,
1637760577698,,0.19775390625,1.224365234375,,,
1637760577699,,,,9.783935546875,,
1637760577700,,,,,83.06257629394531,25.969572067260742
1637760577701,54.58290336470751,,,,,
1637760577838,,0.2001953125,,,,
1637760577839,,,1.275634765625,9.859619140625,82.93341064453125,26.040803909301758
1637760577840,54.58290336470751,,,,,
1637760577923,,0.18798828125,,,,
1637760577924,,,1.309814453125,9.837646484375,83.02944946289062,26.022994995117188
1637760577926,54.58290336470751,,,,,
1637760578013,,0.191650390625,1.236572265625,9.76318359375,,25.951765060424805
1637760578058,,,,,82.96983337402344,
1637760578065,54.58290336470751,,,,,
1637760578149,,0.213623046875,1.2890625,9.81689453125,,
1637760578151,,,,,82.90359497070312,26.00518798828125
1637760578157,54.58290336470751,,,,,
1637760578238,,0.21240234375,1.23291015625,9.82421875,,26.00518798828125
1637760578239,,,,,82.97977447509766,
1637760578240,54.58290336470751,,,,,
1637760578373,,0.220947265625,1.287841796875,9.893798828125,,
1637760578374,,,,,82.96983337402344,26.00518798828125
1637760578375,54.58290336470751,,,,,
1637760578463,,0.203857421875,1.259765625,9.84375,,26.022994995117188
1637760578464,,,,,82.94996643066406,
1637760578509,55.670102654918374,,,,,
1637760578598,,0.21728515625,1.239013671875,9.833984375,,
1637760578599,,,,,82.89035034179688,26.00518798828125
1637760578600,55.670102654918374,,,,,
1637760578688,,0.198974609375,1.275634765625,9.859619140625,,25.969572067260742
1637760578689,,,,,82.87710571289062,
1637760578690,55.670102654918374,,,,,
1637760578823,,0.179443359375,,,,
1637760578824,,,1.229248046875,9.77294921875,,
1637760578825,56.75954782293517,,,,82.9267807006836,25.969572067260742
1637760578913,,0.196533203125,1.258544921875,9.781494140625,,
1637760578915,,,,,82.95658874511719,25.98737907409668
1637760578916,55.670102654918374,,,,,
1637760579003,,0.20263671875,1.253662109375,9.84130859375,,25.98737907409668
1637760579004,,,,,82.92346954345703,
1637760579005,56.75954782293517,,,,,
1637760579138,,0.21484375,1.260986328125,9.8583984375,,
1637760579139,,,,,,26.022994995117188
1637760579140,56.75954782293517,,,,82.87710571289062,
1637760579228,,0.191650390625,,,,
1637760579229,,,1.253662109375,9.849853515625,,26.00518798828125
1637760579230,,,,,82.9267807006836,
1637760579231,56.75954782293517,,,,,
1637760579318,,0.17578125,,,,
1637760579319,,,1.275634765625,9.781494140625,,25.969572067260742
1637760579363,,,,,82.86053466796875,
1637760579364,56.75954782293517,,,,,
1637760579453,,0.22216796875,1.246337890625,,,
1637760579454,,,,9.7705078125,,26.00518798828125
1637760579455,56.75954782293517,,,,82.88372039794922,
1637760579543,,0.189208984375,1.24755859375,,,
1637760579544,,,,9.732666015625,,25.98737907409668
1637760579545,55.670102654918374,,,,82.85391998291016,
1637760579678,,0.2294921875,1.292724609375,9.88037109375,,25.98737907409668
1637760579679,,,,,82.8472900390625,
1637760579680,56.75954782293517,,,,,
1637760579769,,0.211181640625,1.2646484375,9.891357421875,,25.951765060424805
1637760579770,,,,,82.80754852294922,
1637760579771,56.75954782293517,,,,,
1637760579858,,0.189208984375,1.290283203125,9.7705078125,,26.00518798828125
1637760579859,,,,,82.81085968017578,
1637760579860,56.75954782293517,,,,,
1637760579993,,0.206298828125,1.265869140625,9.814453125,,25.98737907409668
1637760579994,,,,,82.90691375732422,
1637760579995,56.75954782293517,,,,,
1637760580083,,0.20751953125,1.239013671875,9.7998046875,,
1637760580084,,,,,82.78436279296875,26.022994995117188
1637760580085,56.75954782293517,,,,,
1637760580173,,0.20263671875,1.2451171875,9.886474609375,,
1637760580174,,,,,,25.969572067260742
