timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1637996187216,356.29139601653634,
1637996187308,376.3440831270724,95.79405975341797
1637996187397,396.9986277374971,95.8901138305664
1637996187532,,96.03584289550781
1637996187533,420.2496346377629,
1637996187624,448.3733959171901,96.0755844116211
1637996187712,481.9102576711703,96.09877014160156
1637996187847,,96.18488311767578
1637996187848,510.3245010035411,
1637996187937,,96.27761840820312
1637996187938,528.3582074510995,
1637996188027,,96.35379791259766
1637996188028,539.8496381892382,
1637996188118,,96.45316314697266
1637996188119,546.8277618699892,
1637996188252,551.5151299983681,96.47965240478516
1637996188341,,96.52932739257812
1637996188342,549.1679151017039,
1637996188432,,96.63863372802734
1637996188477,544.4947444617188,
1637996188567,537.5375617838239,96.63201141357422
1637996188657,523.8095000217301,96.71481323242188
1637996188747,,96.6518783569336
1637996188792,505.8823557791,
1637996188882,484.0579442531229,96.61875915527344
1637996188972,458.6894462267708,96.68168640136719
1637996189062,432.16781156046505,96.59889221191406
1637996189197,,96.57901763916016
1637996189198,406.59339274491816,
1637996189287,380.05392496390925,96.55252075195312
1637996189377,354.4973656770844,96.60220336914062
1637996189512,328.1452484350468,96.53595733642578
1637996189602,304.45860889776407,96.42997741699219
1637996189692,279.99998397827244,96.35379791259766
1637996189827,256.4417296444107,96.26437377929688
1637996189917,,96.27099609375
1637996189918,235.2231513692035,
1637996190007,214.70936121274457,96.27099609375
1637996190142,,96.2246322631836
1637996190143,194.86580229458525,
1637996190232,178.36594108941287,96.20144653320312
1637996190322,172.9667814031546,96.16169738769531
1637996190457,172.9667814031546,96.17826843261719
1637996190547,177.01149444690955,96.23124694824219
1637996190637,,96.34718322753906
1637996190638,185.18518191469718,
1637996190727,197.6608156268344,96.39353942871094
1637996190862,,96.44322204589844
1637996190863,213.27013591451833,
1637996190952,229.29171379908067,96.5260238647461
1637996191042,247.25944502118412,96.57901763916016
1637996191177,,96.63201141357422
1637996191182,268.897150255812,
1637996191267,,96.71150207519531
1637996191269,291.2988654196775,
1637996191357,,96.8174819946289
1637996191402,314.5057945404732,
1637996191492,340.31413570085226,96.90359497070312
1637996191581,,96.94003295898438
1637996191582,368.98394781041407,
1637996191672,,97.05926513671875
1637996191717,400.8208108206512,
1637996191808,434.1736790364072,97.11557006835938
1637996191897,464.9499278348915,97.15200805664062
1637996191988,,97.23811340332031
1637996192032,486.2118955858545,
1637996192122,,97.28117370605469
1637996192123,499.26793627545976,
1637996192212,,97.26129150390625
1637996192214,508.10012069228895,
1637996192302,,97.28117370605469
1637996192303,512.555414357086,
1637996192437,,97.36396789550781
1637996192438,508.10012069228895,
1637996192527,,97.34410095214844
1637996192528,501.4662700500234,
1637996192617,490.538577934194,97.41365051269531
1637996192752,,97.4269027709961
1637996192753,475.50434498298785,
1637996192842,456.61453030681747,97.38384246826172
1637996192932,438.2022389738328,97.38384246826172
1637996193067,414.36462669282946,97.31429290771484
1637996193157,387.5338813482023,97.31759643554688
1637996193247,,97.24142456054688
1637996193248,361.70212582475517,
1637996193562,333.3333333333333,97.2182388305664
1637996193563,,97.12881469726562
1637996193607,306.1224281266563,
1637996193608,278.4019796039199,97.148681640625
1637996193697,253.36597736060597,97.06588745117188
1637996193787,,96.90690612792969
1637996193788,229.29171379908067,
1637996193967,206.12485543065225,96.93009185791016
1637996194012,186.5585126786544,96.85392761230469
1637996194147,,96.86715698242188
1637996194148,177.01149444690955,
1637996194237,,96.83404541015625
1637996194238,174.3119250803963,
1637996194372,175.66015833061738,96.87378692626953
1637996194417,181.08419519824045,96.95989990234375
1637996194552,,97.08245086669922
1637996194553,190.69768287737128,
1637996194642,,97.15862274169922
1637996194643,201.87793517617746,
1637996194732,217.59810478213183,97.15862274169922
1637996194867,,97.35072326660156
1637996194868,236.71498184357242,
1637996194957,259.5325831483612,97.40040588378906
1637996195047,284.818082749614,97.4434585571289
1637996195182,312.8205357688906,97.53619384765625
1637996195272,342.07078427296346,97.5726318359375
1637996195362,374.4966447746951,97.67198181152344
1637996195452,,97.66536712646484
1637996195453,408.52821187382904,
1637996195587,,97.73822784423828
1637996195588,444.2877203812971,
