relative_time,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
8009,,120.44559478759766
8010,889.2988045798326,
8144,,120.43234252929688
8189,910.4478583885156,
8234,950.4761667359719,120.32304382324219
8324,,120.339599609375
8325,996.1013793365505,
8459,,120.34292602539062
8460,1039.840688317701,
8549,1068.6868156689625,120.3131103515625
8639,1094.0694595065177,120.2932357788086
8774,1111.340187337602,120.339599609375
8864,,120.26012420654297
8865,1128.8980866510478,
8954,,120.37273406982422
8955,1137.7870371123897,
9089,1146.7504530347587,120.3164291381836
9179,,120.3363037109375
9180,1155.7894890576522,
9269,,120.32634735107422
9270,1155.7894890576522,
9404,,120.38265228271484
9405,1155.7894890576522,
9494,,120.37273406982422
9495,1151.2605238075307,
9584,,120.339599609375
9585,1142.2594045403562,
9675,1128.8980866510478,120.37273406982422
9809,,120.36609649658203
9810,1106.9959102976018,
9899,,120.36277770996094
9900,1089.79589503589,
9989,,120.40916442871094
9990,1056.2249167911723,
10124,1015.7480391235656,120.45883178710938
10214,976.83389950193,120.36277770996094
10304,,120.40916442871094
10305,943.0740682197406,
10440,921.2006631109815,120.44559478759766
10529,,120.35948181152344
10530,899.8144079579533,
10619,,120.35615539550781
10620,885.8195095103594,
10754,,120.3363037109375
10755,875.4579175087867,
10844,,120.37273406982422
10845,868.6130555464089,
10935,865.2095454121638,120.339599609375
11069,865.2095454121638,120.3131103515625
11159,,120.2700424194336
11160,865.2095454121638,
11249,,120.24354553222656
11250,868.6130555464089,
11384,,120.20381927490234
11385,878.8990460424645,
11474,892.7910960653628,120.17401123046875
11564,,120.10112762451172
11565,910.4478583885156,
11654,,120.12100219726562
11655,939.39399368945,
11789,976.83389950193,120.20381927490234
11879,1015.7480391235656,120.111083984375
11969,1047.9999930038452,120.09782409667969
12104,,120.064697265625
12105,1072.874460787925,
12194,,120.05146026611328
12195,1098.360709399508,
12284,,120.1077651977539
12285,1120.0827850492872,
