timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Resistance-1
1636466257753,389.4165479267486
1636466257842,385.65628121334447
1636466257932,385.65628121334447
1636466258067,387.5338813482023
1636466258157,391.3043437698163
1636466258248,398.90710798281384
1636466258339,404.6639299320293
1636466258427,414.36462669282946
1636466258563,424.2002776014619
1636466258653,436.1851437413944
1636466258743,448.3733959171901
1636466258878,456.61453030681747
1636466258968,460.77034690833864
1636466259058,464.9499278348915
1636466259148,462.8571378124004
1636466259242,458.6894462267708
1636466259328,454.5454446934474
1636466259463,446.3276673833569
1636466259552,438.2022389738328
1636466259643,426.1838369352267
1636466259732,416.32089920384647
1636466259867,408.52821187382904
1636466259958,402.7397376024876
1636466260048,396.9986277374971
1636466260139,391.3043437698163
1636466260228,385.65628121334447
1636466260363,380.05392496390925
1636466260453,374.4966447746951
1636466260543,374.4966447746951
1636466260633,374.4966447746951
1636466260768,378.19650492048123
1636466260858,383.78379367580396
1636466260948,389.4165479267486
1636466261040,398.90710798281384
1636466261173,408.52821187382904
1636466261263,418.28254902895475
1636466261398,424.2002776014619
1636466261443,428.172964031484
1636466261533,426.1838369352267
1636466261668,424.2002776014619
1636466261804,418.28254902895475
1636466261848,410.46831686327073
1636466261938,398.90710798281384
1636466262118,391.3043437698163
1636466262163,381.91632522962715
1636466262253,376.3440831270724
1636466262343,370.8166029277889
1636466262433,365.3333372819689
1636466262569,359.8937523746633
1636466262658,356.29139601653634
1636466262748,352.70805323638746
1636466262838,350.92347092875866
1636466262973,352.70805323638746
1636466263107,354.4973656770844
1636466263153,359.8937523746633
1636466263334,367.1562048884259
1636466263335,374.4966447746951
1636466263513,385.65628121334447
1636466263559,398.90710798281384
1636466263648,408.52821187382904
1636466263782,416.32089920384647
1636466263828,418.28254902895475
1636466263963,418.28254902895475
1636466264098,414.36462669282946
1636466264188,410.46831686327073
1636466264232,402.7397376024876
1636466264323,395.09536990077555
1636466264458,385.65628121334447
1636466264548,378.19650492048123
1636466264639,372.6541438243005
1636466264728,367.1562048884259
1636466264863,363.5153109542348
1636466264953,359.8937523746633
1636466265043,356.29139601653634
1636466265133,352.70805323638746
1636466265223,352.70805323638746
1636466265358,352.70805323638746
1636466265447,354.4973656770844
1636466265538,361.70212582475517
1636466265673,368.98394781041407
1636466265763,378.19650492048123
1636466265853,387.5338813482023
1636466265988,400.8208108206512
1636466266034,410.46831686327073
1636466266123,420.2496346377629
1636466266304,426.1838369352267
1636466266349,428.172964031484
1636466266438,426.1838369352267
1636466266528,422.2222177481946
1636466266663,416.32089920384647
1636466266753,410.46831686327073
1636466266843,406.59339274491816
1636466266933,402.7397376024876
1636466267023,400.8208108206512
1636466267158,396.9986277374971
1636466267248,395.09536990077555
1636466267338,395.09536990077555
1636466267428,395.09536990077555
1636466267563,393.1972616929975
1636466267653,391.3043437698163
1636466267743,391.3043437698163
1636466267836,395.09536990077555
1636466267923,400.8208108206512
1636466268058,410.46831686327073
1636466268149,420.2496346377629
1636466268239,432.16781156046505
1636466268328,440.2250463808651
1636466268463,444.2877203812971
1636466268598,446.3276673833569
1636466268643,444.2877203812971
1636466268732,440.2250463808651
1636466268823,434.1736790364072
1636466268959,424.2002776014619
1636466269049,416.32089920384647
1636466269138,408.52821187382904
1636466269228,404.6639299320293
1636466269363,398.90710798281384
1636466269453,396.9986277374971
1636466269543,391.3043437698163
1636466269633,387.5338813482023
1636466269723,385.65628121334447
1636466269858,381.91632522962715
1636466269948,381.91632522962715
1636466270038,385.65628121334447
1636466270173,389.4165479267486
1636466270264,396.9986277374971
1636466270353,404.6639299320293
1636466270443,414.36462669282946
1636466270578,428.172964031484
1636466270623,438.2022389738328
1636466270759,446.3276673833569
1636466270848,448.3733959171901
1636466270938,448.3733959171901
1636466271029,444.2877203812971
1636466271208,438.2022389738328
1636466271253,434.1736790364072
1636466271344,426.1838369352267
1636466271433,420.2496346377629
1636466271523,416.32089920384647
1636466271658,412.41379785027436
1636466271748,408.52821187382904
1636466271838,406.59339274491816
1636466271928,404.6639299320293
1636466272067,402.7397376024876
1636466272153,400.8208108206512
1636466272243,398.90710798281384
1636466272333,400.8208108206512
1636466272468,404.6639299320293
1636466272559,410.46831686327073
1636466272648,420.2496346377629
1636466272738,430.1675983383237
1636466272873,442.2535116221788
1636466272963,452.4822852647644
1636466273053,460.77034690833864
1636466273188,462.8571378124004
1636466273233,460.77034690833864
1636466273368,458.6894462267708
1636466273503,452.4822852647644
1636466273548,444.2877203812971
1636466273638,436.1851437413944
1636466273729,428.172964031484
1636466273863,420.2496346377629
1636466273953,414.36462669282946
1636466274043,406.59339274491816
1636466274132,402.7397376024876
1636466274268,398.90710798281384
1636466274403,395.09536990077555
1636466274448,389.4165479267486
1636466274538,387.5338813482023
1636466274629,385.65628121334447
1636466274764,387.5338813482023
1636466274853,391.3043437698163
1636466274943,398.90710798281384
1636466275033,406.59339274491816
1636466275168,414.36462669282946
1636466275259,426.1838369352267
1636466275348,436.1851437413944
1636466275440,444.2877203812971
1636466275528,450.4249516907538
1636466275664,452.4822852647644
1636466275753,452.4822852647644
1636466275843,448.3733959171901
1636466275933,442.2535116221788
1636466276068,436.1851437413944
1636466276161,428.172964031484
1636466276248,420.2496346377629
1636466276338,414.36462669282946
1636466276428,408.52821187382904
1636466276564,402.7397376024876
1636466276653,400.8208108206512
1636466276743,396.9986277374971
1636466276833,393.1972616929975
1636466276968,389.4165479267486
1636466277059,385.65628121334447
1636466277148,385.65628121334447
1636466277237,389.4165479267486
