,Volume,time
0,8.540542807931274e-11,0.0
1,1.7093476433501395e-10,6.25e-05
2,2.5658801389874027e-10,0.000125
3,3.423651727690822e-10,0.0001875
4,4.2826624158432416e-10,0.00025
5,5.142912241827267e-10,0.0003125
6,6.004401225390013e-10,0.000375
7,6.867129393571534e-10,0.0004375
8,7.731096743344045e-10,0.0005
9,8.596303300732043e-10,0.0005625
10,9.462749107402376e-10,0.000625
11,1.0330434164170042e-09,0.0006875
12,1.119935848092759e-09,0.00075
13,1.2069522117303154e-09,0.0008125
14,1.294092510148582e-09,0.000875
15,1.3813567434404038e-09,0.0009375
16,1.468744918038058e-09,0.001
17,1.5562570373255673e-09,0.0010625
18,1.6438931041182107e-09,0.001125
19,1.7316531237323311e-09,0.0011875
20,1.819537099597128e-09,0.00125
21,1.907545038016483e-09,0.0013125
22,1.9956769415475096e-09,0.001375
23,2.0839328099594485e-09,0.0014375
24,2.1723126449101752e-09,0.0015
25,2.26081644933969e-09,0.0015625
26,2.349444229606318e-09,0.001625
27,2.4381959903047113e-09,0.0016875
28,2.5270717287918697e-09,0.00175
29,2.616071448057193e-09,0.0018125
30,2.7051951527168563e-09,0.001875
31,2.79444284056033e-09,0.0019375
32,2.8838145108446898e-09,0.002
33,2.973310165609008e-09,0.0020625
34,3.0629298059062803e-09,0.002125
35,3.1526734369837137e-09,0.0021875
36,3.242541059839946e-09,0.00225
37,3.3325326742757888e-09,0.0023125
38,3.4226482851422214e-09,0.002375
39,3.5128878937259244e-09,0.0024375
40,3.603251502865419e-09,0.0025
41,3.6937391185867867e-09,0.0025625
42,3.784350740730262e-09,0.002625
43,3.8750863733877784e-09,0.0026875
44,3.965946019403352e-09,0.00275
45,4.056929681232532e-09,0.0028125
46,4.148037364326016e-09,0.002875
47,4.239269069065668e-09,0.0029375
48,4.3306247959257e-09,0.003
49,4.422104547998666e-09,0.0030625
50,4.5137083262606654e-09,0.003125
51,4.60543613404945e-09,0.0031875
52,4.697287973539437e-09,0.00325
53,4.78926384542477e-09,0.0033125
54,4.881363753606155e-09,0.003375
55,4.97358770029329e-09,0.0034375
56,5.065935684298014e-09,0.0035
57,5.1584077064790285e-09,0.0035625
58,5.251003769196989e-09,0.003625
59,5.343723874803422e-09,0.0036875
60,5.436568025715917e-09,0.00375
61,5.529536221499506e-09,0.0038125
62,5.622628462183797e-09,0.003875
63,5.715844747508032e-09,0.0039375
64,5.809185079211797e-09,0.004
65,5.902649459678355e-09,0.0040625
66,5.996237889399255e-09,0.004125
67,6.0899503698265334e-09,0.0041875
68,6.1837869039275975e-09,0.00425
69,6.277747494347597e-09,0.0043125
70,6.37183214367316e-09,0.004375
71,6.466040856890167e-09,0.0044375
72,6.5603736395685995e-09,0.0045
73,6.6548304910916565e-09,0.0045625
74,6.74941141140945e-09,0.004625
75,6.8441164003241835e-09,0.0046875
76,6.938945456176007e-09,0.00475
77,7.033898580652341e-09,0.0048125
78,7.128975776048395e-09,0.004875
79,7.2241770433459805e-09,0.0049375
80,7.319502383519854e-09,0.005
81,7.414951797465967e-09,0.0050625
82,7.510525288603308e-09,0.005125
83,7.606222863434665e-09,0.0051875
84,7.702044525891978e-09,0.00525
85,7.797990277086384e-09,0.0053125
86,7.894060121548997e-09,0.005375
87,7.990254065378363e-09,0.0054375
88,8.086572112662698e-09,0.0055
89,8.18301426525439e-09,0.0055625
90,8.279580528692385e-09,0.005625
91,8.376270903600747e-09,0.0056875
92,8.473085394063131e-09,0.00575
93,8.570024011502561e-09,0.0058125
94,8.667086756283788e-09,0.005875
95,8.764273629290111e-09,0.0059375
96,8.861584635370557e-09,0.006
97,8.959019776116881e-09,0.0060625
98,9.05657905542891e-09,0.006125
99,9.154262472142793e-09,0.0061875
100,9.252070032299e-09,0.00625
101,9.35000174798809e-09,0.0063125
102,9.448057617299414e-09,0.006375
103,9.546237639032158e-09,0.0064375
104,9.644541817888797e-09,0.0065
105,9.742970157439407e-09,0.0065625
106,9.841522659903884e-09,0.006625
107,9.940199325531127e-09,0.0066875
108,1.0039000158112037e-08,0.00675
109,1.0137925157619728e-08,0.0068125
110,1.0236974325943848e-08,0.006875
111,1.0336147667588918e-08,0.0069375
112,1.0435445183366262e-08,0.007
113,1.0534866875479237e-08,0.0070625
114,1.063441274361925e-08,0.007125
115,1.073408278726636e-08,0.0071875
116,1.0833877009880027e-08,0.00725
117,1.0933795412043649e-08,0.0073125
118,1.1033837996418807e-08,0.007375
119,1.1134004764941983e-08,0.0074375
120,1.1234295720825651e-08,0.0075
121,1.1334710868292889e-08,0.0075625
122,1.1435250214325441e-08,0.007625
123,1.1535913765169837e-08,0.0076875
124,1.1636701523236059e-08,0.00775
125,1.1737613490166771e-08,0.0078125
126,1.183864967235049e-08,0.007875
127,1.1939810074463686e-08,0.0079375
128,1.2041094697157738e-08,0.008
129,1.2142503539924872e-08,0.0080625
130,1.2244036601222643e-08,0.008125
131,1.2345693879781881e-08,0.0081875
132,1.2447475373711436e-08,0.00825
133,1.2549381081548705e-08,0.0083125
134,1.2651411003316078e-08,0.008375
135,1.2753565136150943e-08,0.0084375
136,1.2855843477254334e-08,0.0085
137,1.295824602632844e-08,0.0085625
138,1.3060772784544548e-08,0.008625
139,1.3163423752763803e-08,0.0086875
140,1.3266198931043946e-08,0.00875
141,1.3369098317415133e-08,0.0088125
142,1.3472121915388857e-08,0.008875
143,1.3575269730919956e-08,0.0089375
144,1.3678541765719735e-08,0.009
145,1.3781938022746008e-08,0.0090625
146,1.3885458504107187e-08,0.009125
147,1.3989103210127803e-08,0.0091875
