,Volume,time
0,3.928005734952075e-12,0.0
1,7.97308524377594e-12,6.25e-05
2,1.2135234913335585e-11,0.000125
3,1.641445207132924e-11,0.0001875
4,2.0810739789780162e-11,0.00025
5,2.5324101498285082e-11,0.0003125
6,2.995453765800705e-11,0.000375
7,3.4702047153968794e-11,0.0004375
8,3.956662808690538e-11,0.0005
9,4.45482806513319e-11,0.0005625
10,4.964700508188092e-11,0.000625
11,5.486280098318639e-11,0.0006875
12,6.019566604385244e-11,0.00075
13,6.564559919176284e-11,0.0008125
14,7.121260284707698e-11,0.000875
15,7.689667888074945e-11,0.0009375
16,8.269782949291989e-11,0.001
17,8.861605695320401e-11,0.0010625
18,9.465136521448647e-11,0.001125
19,1.0080375953772893e-10,0.0011875
20,1.0707324477419023e-10,0.00125
21,1.1345982528664184e-10,0.0013125
22,1.1996350413007273e-10,0.001375
23,1.2658428471486953e-10,0.0014375
24,1.3332217113536509e-10,0.0015
25,1.401771677773726e-10,0.0015625
26,1.471492790582451e-10,0.001625
27,1.5423850881012637e-10,0.0016875
28,1.6144486172548152e-10,0.00175
29,1.6876834410744836e-10,0.0018125
30,1.7620896360167038e-10,0.001875
31,1.837667293399418e-10,0.0019375
32,1.9144165047559499e-10,0.002
33,1.9923373633522692e-10,0.0020625
34,2.071429955684675e-10,0.002125
35,2.1516943507316682e-10,0.0021875
36,2.2331306133935938e-10,0.00225
37,2.315738815514068e-10,0.0023125
38,2.399519032585272e-10,0.002375
39,2.4844713289957766e-10,0.0024375
40,2.5705957501384903e-10,0.0025
41,2.65789235104691e-10,0.0025625
42,2.746361186781935e-10,0.002625
43,2.8360023004304836e-10,0.0026875
44,2.926815738357843e-10,0.00275
45,3.0188015431963036e-10,0.0028125
46,3.1119597607534977e-10,0.002875
47,3.206290432399193e-10,0.0029375
48,3.3017935964520257e-10,0.003
49,3.39846929455544e-10,0.0030625
50,3.4963175702507046e-10,0.003125
51,3.595338473697521e-10,0.0031875
52,3.695532055681118e-10,0.00325
53,3.796898366582998e-10,0.0033125
54,3.8994374565787865e-10,0.003375
55,4.003149382397252e-10,0.0034375
56,4.1080342182470114e-10,0.0035
57,4.2140920546211693e-10,0.0035625
58,4.3213229894644905e-10,0.003625
59,4.429727133660476e-10,0.0036875
60,4.5393046017716977e-10,0.00375
61,4.650055519449059e-10,0.0038125
62,4.761980010414804e-10,0.003875
63,4.8750781921385e-10,0.0039375
64,4.989350189578868e-10,0.004
65,5.104796120466907e-10,0.0040625
66,5.221416105903676e-10,0.004125
67,5.339210229815899e-10,0.0041875
68,5.458178565465702e-10,0.00425
69,5.578321214893305e-10,0.0043125
70,5.699638274681642e-10,0.004375
71,5.822129814388703e-10,0.0044375
72,5.94579587274786e-10,0.0045
73,6.070636504671197e-10,0.0045625
74,6.196651801638597e-10,0.004625
75,6.323841820077289e-10,0.0046875
76,6.452206593254892e-10,0.00475
77,6.581746166269026e-10,0.0048125
78,6.71246061469462e-10,0.004875
79,6.844350024817194e-10,0.0049375
80,6.977414465615558e-10,0.005
81,7.111654012919693e-10,0.0050625
82,7.247068740854675e-10,0.005125
83,7.383658738920391e-10,0.0051875
84,7.521424116274961e-10,0.00525
85,7.660364960103817e-10,0.0053125
86,7.800481357689363e-10,0.005375
87,7.941773392859485e-10,0.0054375
88,8.084241156401921e-10,0.0055
89,8.227884750518631e-10,0.0055625
90,8.372704269360491e-10,0.005625
91,8.518699810196241e-10,0.0056875
92,8.665871459528981e-10,0.00575
93,8.814219322393035e-10,0.0058125
