,Volume,time
0,6.630365502133768e-10,0.0
1,1.3259129990604694e-09,6.25e-05
2,1.988629347937055e-09,0.000125
3,2.6511856021771556e-09,0.0001875
4,3.3135817669933456e-09,0.00025
5,3.975817849103504e-09,0.0003125
6,4.6378938540687145e-09,0.000375
7,5.299809784744561e-09,0.0004375
8,5.961565639413034e-09,0.0005
9,6.6231614107683184e-09,0.0005625
10,7.2845970878864455e-09,0.000625
11,7.945872660272617e-09,0.0006875
12,8.606988124898201e-09,0.00075
13,9.267943488215438e-09,0.0008125
14,9.92873876403955e-09,0.000875
15,1.0589373962555305e-08,0.0009375
16,1.1249849084956714e-08,0.001
17,1.191016411969575e-08,0.0010625
18,1.2570319053739246e-08,0.001125
19,1.3230313873455479e-08,0.0011875
20,1.3890148562979499e-08,0.00125
21,1.4549823109514191e-08,0.0013125
22,1.5209337500472943e-08,0.001375
23,1.5868691729796922e-08,0.0014375
24,1.652788580283676e-08,0.0015
25,1.7186919730919293e-08,0.0015625
26,1.784579353163474e-08,0.001625
27,1.8504507226070153e-08,0.0016875
28,1.916306083612986e-08,0.00175
29,1.9821454384346492e-08,0.0018125
30,2.0479687889887545e-08,0.001875
31,2.113776136856587e-08,0.0019375
32,2.1795674826176763e-08,0.002
33,2.2453428265151346e-08,0.0020625
34,2.3111021685665264e-08,0.002125
35,2.376845509110519e-08,0.0021875
36,2.442572849211885e-08,0.00225
37,2.508284189904485e-08,0.0023125
38,2.5739795325937635e-08,0.002375
39,2.63965887901357e-08,0.0024375
40,2.7053222309918588e-08,0.0025
41,2.7709695906362543e-08,0.0025625
42,2.8366009606917454e-08,0.002625
43,2.9022163436064415e-08,0.0026875
44,2.9678157415081666e-08,0.00275
45,3.0333991562595915e-08,0.0028125
46,3.098966589713684e-08,0.002875
47,3.1645180434691936e-08,0.0029375
48,3.230053519341339e-08,0.003
49,3.29557301901549e-08,0.0030625
50,3.361076544669395e-08,0.003125
51,3.426564098167266e-08,0.0031875
52,3.492035680832338e-08,0.00325
53,3.5574912939281695e-08,0.0033125
54,3.622930939263885e-08,0.003375
55,3.688354618707803e-08,0.0034375
56,3.75376233425967e-08,0.0035
57,3.819154087642959e-08,0.0035625
58,3.8845298799978696e-08,0.003625
59,3.9498897113966025e-08,0.0036875
60,4.0152335812141455e-08,0.00375
61,4.0805614890994464e-08,0.0038125
62,4.145873435696784e-08,0.003875
63,4.211169422645893e-08,0.0039375
64,4.2764494521352124e-08,0.004
65,4.34171352647748e-08,0.0040625
66,4.406961647500852e-08,0.004125
67,4.472193816914925e-08,0.0041875
68,4.5374100363850075e-08,0.00425
69,4.602610307439023e-08,0.0043125
70,4.6677946316882846e-08,0.004375
71,4.732963010893574e-08,0.0044375
72,4.798115446951157e-08,0.0045
73,4.863251941972717e-08,0.0045625
74,4.9283724983188184e-08,0.004625
75,4.993477118749917e-08,0.0046875
76,5.058565806457846e-08,0.00475
77,5.123638565074286e-08,0.0048125
78,5.188695398535258e-08,0.004875
79,5.2537363104969685e-08,0.0049375
80,5.318761304034997e-08,0.005
81,5.3837703818201524e-08,0.0050625
82,5.448763546150275e-08,0.005125
83,5.513740798702724e-08,0.0051875
84,5.578702140865541e-08,0.00525
85,5.643647574066588e-08,0.0053125
86,5.7085771008257435e-08,0.005375
87,5.773490724864781e-08,0.0054375
88,5.838388450624287e-08,0.0055
89,5.9032702837173366e-08,0.0055625
90,5.968136230221445e-08,0.005625
